Topic -1 (Outliers/Noise): Mapped to 'other' (pre-defined outlier category).
Topic 0 (0_2025_about_campaign_bihar): Mapped to 'development' because of keywords ['2025', 'about', 'campaign', 'bihar'].
Topic 1 (1_across_allocations_are_center): Mapped to 'welfare' because of keywords ['across', 'allocations', 'are', 'center'].
Topic 2 (2_analysts_fight_emerge_cornered): Mapped to 'other' because of keywords ['analysts', 'fight', 'emerge', 'cornered'].
Topic 3 (3_assets_better_groups_healthcare): Mapped to 'development' because of keywords ['assets', 'better', 'groups', 'healthcare'].
Topic 4 (4_massive_rally_addressed_ahead): Mapped to 'development' because of keywords ['massive', 'rally', 'addressed', 'ahead'].
Topic 5 (5_flood_cabinet_embankments_delegation): Mapped to 'development' because of keywords ['flood', 'cabinet', 'embankments', 'delegation'].
Topic 6 (6_assets_groups_coalition_clean): Mapped to 'development' because of keywords ['assets', 'groups', 'coalition', 'clean'].
Topic 7 (7_2025_about_connectivity_development): Mapped to 'development' because of keywords ['2025', 'about', 'connectivity', 'development'].
Topic 8 (8_2025_about_campaign_bihar): Mapped to 'development' because of keywords ['2025', 'about', 'campaign', 'bihar'].
Topic 9 (9_growth_economic_survey_show): Mapped to 'development' because of keywords ['growth', 'economic', 'survey', 'show'].
Topic 10 (10_flood_become_delegation_embankments): Mapped to 'development' because of keywords ['flood', 'become', 'delegation', 'embankments'].
Topic 11 (11_2025_about_connectivity_campaign): Mapped to 'development' because of keywords ['2025', 'about', 'connectivity', 'campaign'].
Topic 12 (12_affidavits_process_rival_highly): Mapped to 'other' because of keywords ['affidavits', 'process', 'rival', 'highly'].
Topic 13 (13_growth_volumes_trade_economic): Mapped to 'development' because of keywords ['growth', 'volumes', 'trade', 'economic'].
Topic 14 (14_turnout_campaigns_youth_awareness): Mapped to 'unemployment' because of keywords ['turnout', 'campaigns', 'youth', 'awareness'].
Topic 15 (15_across_allocations_are_becomes): Mapped to 'welfare' because of keywords ['across', 'allocations', 'are', 'becomes'].
Topic 16 (16_analysts_cornered_emerge_their): Mapped to 'other' because of keywords ['analysts', 'cornered', 'emerge', 'their'].
Topic 17 (17_analysts_cornered_spoilers_refusing): Mapped to 'other' because of keywords ['analysts', 'cornered', 'spoilers', 'refusing'].
Topic 18 (18_across_allocations_are_becomes): Mapped to 'welfare' because of keywords ['across', 'allocations', 'are', 'becomes'].
Topic 19 (19_massive_rally_crowds_ahead): Mapped to 'development' because of keywords ['massive', 'rally', 'crowds', 'ahead'].
Topic 20 (20_turnout_kamal_sahebpur_electoral): Mapped to 'other' because of keywords ['turnout', 'kamal', 'sahebpur', 'electoral'].
Topic 21 (21_rally_massive_addressed_ahead): Mapped to 'development' because of keywords ['rally', 'massive', 'addressed', 'ahead'].
Topic 22 (22_growth_show_trends_upward): Mapped to 'development' because of keywords ['growth', 'show', 'trends', 'upward'].
Topic 23 (23_affidavits_battle_making_millionaire): Mapped to 'other' because of keywords ['affidavits', 'battle', 'making', 'millionaire'].
Topic 24 (24_across_allocations_are_center): Mapped to 'welfare' because of keywords ['across', 'allocations', 'are', 'center'].
Topic 25 (25_turnout_kalyanpur_awareness_expected): Mapped to 'other' because of keywords ['turnout', 'kalyanpur', 'awareness', 'expected'].
Topic 26 (26_rally_massive_bounds_day): Mapped to 'development' because of keywords ['rally', 'massive', 'bounds', 'day'].
Topic 27 (27_massive_rally_bounds_ahead): Mapped to 'development' because of keywords ['massive', 'rally', 'bounds', 'ahead'].
Topic 28 (28_gaya_town_2025_about): Mapped to 'other' because of keywords ['gaya', 'town', '2025', 'about'].
Topic 29 (29_growth_khagaria_becoming_economic): Mapped to 'development' because of keywords ['growth', 'khagaria', 'becoming', 'economic'].
Topic 30 (30_turnout_awareness_electoral_campaigns): Mapped to 'other' because of keywords ['turnout', 'awareness', 'electoral', 'campaigns'].
Topic 31 (31_flood_become_cabinet_delegation): Mapped to 'development' because of keywords ['flood', 'become', 'cabinet', 'delegation'].
Topic 32 (32_flood_become_delegation_cabinet): Mapped to 'development' because of keywords ['flood', 'become', 'delegation', 'cabinet'].
Topic 33 (33_growth_goriakothi_becoming_economic): Mapped to 'development' because of keywords ['growth', 'goriakothi', 'becoming', 'economic'].
Topic 34 (34_rally_massive_crowds_ahead): Mapped to 'development' because of keywords ['rally', 'massive', 'crowds', 'ahead'].
Topic 35 (35_turnout_campaigns_expected_awareness): Mapped to 'unemployment' because of keywords ['turnout', 'campaigns', 'expected', 'awareness'].
Topic 36 (36_growth_becoming_indicators_trends): Mapped to 'development' because of keywords ['growth', 'becoming', 'indicators', 'trends'].
Topic 37 (37_turnout_electoral_awareness_expected): Mapped to 'other' because of keywords ['turnout', 'electoral', 'awareness', 'expected'].
Topic 38 (38_flood_become_inspected_embankments): Mapped to 'development' because of keywords ['flood', 'become', 'inspected', 'embankments'].
Topic 39 (39_bihpur_amour_raghopur_across): Mapped to 'welfare' because of keywords ['bihpur', 'amour', 'raghopur', 'across'].
Topic 40 (40_turnout_barauli_barari_awareness): Mapped to 'other' because of keywords ['turnout', 'barauli', 'barari', 'awareness'].
Topic 41 (41_flood_become_cabinet_delegation): Mapped to 'development' because of keywords ['flood', 'become', 'cabinet', 'delegation'].
Topic 42 (42_assets_emphasizing_groups_healthcare): Mapped to 'development' because of keywords ['assets', 'emphasizing', 'groups', 'healthcare'].
Topic 43 (43_bariarpur_cheria_turnout_electoral): Mapped to 'unemployment' because of keywords ['bariarpur', 'cheria', 'turnout', 'electoral'].
Topic 44 (44_growth_economic_indicators_becoming): Mapped to 'development' because of keywords ['growth', 'economic', 'indicators', 'becoming'].
Topic 45 (45_affidavits_highly_file_completed): Mapped to 'other' because of keywords ['affidavits', 'highly', 'file', 'completed'].
Topic 46 (46_flood_makhdumpur_become_relief): Mapped to 'development' because of keywords ['flood', 'makhdumpur', 'become', 'relief'].
Topic 47 (47_growth_bhagalpur_brahampur_upward): Mapped to 'development' because of keywords ['growth', 'bhagalpur', 'brahampur', 'upward'].
Topic 48 (48_flood_bahadurpur_become_cabinet): Mapped to 'development' because of keywords ['flood', 'bahadurpur', 'become', 'cabinet'].
Topic 49 (49_pipra_mahua_chenari_across): Mapped to 'welfare' because of keywords ['pipra', 'mahua', 'chenari', 'across'].
Topic 50 (50_growth_becoming_economic_indicators): Mapped to 'development' because of keywords ['growth', 'becoming', 'economic', 'indicators'].
Topic 51 (51_kutumba_about_2025_campaign): Mapped to 'development' because of keywords ['kutumba', 'about', '2025', 'campaign'].
Topic 52 (52_turnout_sursand_awareness_campaigns): Mapped to 'other' because of keywords ['turnout', 'sursand', 'awareness', 'campaigns'].
Topic 53 (53_growth_saharsa_phulwari_survey): Mapped to 'development' because of keywords ['growth', 'saharsa', 'phulwari', 'survey'].
Topic 54 (54_flood_become_cabinet_requiring): Mapped to 'development' because of keywords ['flood', 'become', 'cabinet', 'requiring'].
Topic 55 (55_assets_better_coalition_clean): Mapped to 'development' because of keywords ['assets', 'better', 'coalition', 'clean'].
Topic 56 (56_morwa_across_are_becomes): Mapped to 'welfare' because of keywords ['morwa', 'across', 'are', 'becomes'].
Topic 57 (57_nawada_across_are_allocations): Mapped to 'welfare' because of keywords ['nawada', 'across', 'are', 'allocations'].
Topic 58 (58_sursand_2025_bihar_development): Mapped to 'welfare' because of keywords ['sursand', '2025', 'bihar', 'development'].
Topic 59 (59_kalyanpur_battle_affidavits_rival): Mapped to 'other' because of keywords ['kalyanpur', 'battle', 'affidavits', 'rival'].
Topic 60 (60_katihar_allocations_are_becomes): Mapped to 'welfare' because of keywords ['katihar', 'allocations', 'are', 'becomes'].
Topic 61 (61_hathua_baikunthpur_massive_rally): Mapped to 'development' because of keywords ['hathua', 'baikunthpur', 'massive', 'rally'].
Topic 62 (62_darauli_massive_rally_sugauli): Mapped to 'other' because of keywords ['darauli', 'massive', 'rally', 'sugauli'].
Topic 63 (63_sakra_assets_clean_demands): Mapped to 'development' because of keywords ['sakra', 'assets', 'clean', 'demands'].
Topic 64 (64_vaishali_begusarai_cornered_analysts): Mapped to 'other' because of keywords ['vaishali', 'begusarai', 'cornered', 'analysts'].
Topic 65 (65_barh_sarairanjan_predict_analysts): Mapped to 'other' because of keywords ['barh', 'sarairanjan', 'predict', 'analysts'].
Topic 66 (66_2025_about_intensifies_bihar): Mapped to 'development' because of keywords ['2025', 'about', 'intensifies', 'bihar'].
Topic 67 (67_rafiganj_growth_mohiuddinnagar_survey): Mapped to 'development' because of keywords ['rafiganj', 'growth', 'mohiuddinnagar', 'survey'].
Topic 68 (68_bibhutipur_brahampur_affidavits_process): Mapped to 'other' because of keywords ['bibhutipur', 'brahampur', 'affidavits', 'process'].
Topic 69 (69_chakai_saharsa_cornered_analysts): Mapped to 'other' because of keywords ['chakai', 'saharsa', 'cornered', 'analysts'].
Topic 70 (70_samastipur_amnour_turnout_workers): Mapped to 'other' because of keywords ['samastipur', 'amnour', 'turnout', 'workers'].
Topic 71 (71_lakhisarai_massive_rally_bakhtiarpur): Mapped to 'development' because of keywords ['lakhisarai', 'massive', 'rally', 'bakhtiarpur'].
Topic 72 (72_bihariganj_patna_sahib_tight): Mapped to 'other' because of keywords ['bihariganj', 'patna', 'sahib', 'tight'].
Topic 73 (73_amnour_affidavits_battle_unpredictable): Mapped to 'other' because of keywords ['amnour', 'affidavits', 'battle', 'unpredictable'].
Topic 74 (74_forbesganj_paliganj_warsaliganj_affidavits): Mapped to 'other' because of keywords ['forbesganj', 'paliganj', 'warsaliganj', 'affidavits'].
Topic 75 (75_rally_massive_bounds_ahead): Mapped to 'development' because of keywords ['rally', 'massive', 'bounds', 'ahead'].
Topic 76 (76_massive_rally_brahampur_bounds): Mapped to 'other' because of keywords ['massive', 'rally', 'brahampur', 'bounds'].
Topic 77 (77_masaurhi_clean_better_coalition): Mapped to 'development' because of keywords ['masaurhi', 'clean', 'better', 'coalition'].
Topic 78 (78_thakurganj_affidavits_unpredictable_battle): Mapped to 'other' because of keywords ['thakurganj', 'affidavits', 'unpredictable', 'battle'].
Topic 79 (79_teghra_massive_rally_gaighat): Mapped to 'other' because of keywords ['teghra', 'massive', 'rally', 'gaighat'].
Topic 80 (80_agiaon_flood_kanti_cabinet): Mapped to 'development' because of keywords ['agiaon', 'flood', 'kanti', 'cabinet'].
Topic 81 (81_dinara_better_clean_demands): Mapped to 'development' because of keywords ['dinara', 'better', 'clean', 'demands'].
Topic 82 (82_flood_atri_become_inspected): Mapped to 'development' because of keywords ['flood', 'atri', 'become', 'inspected'].
Topic 83 (83_narkatiya_analysts_emerge_fight): Mapped to 'other' because of keywords ['narkatiya', 'analysts', 'emerge', 'fight'].
Topic 84 (84_baikunthpur_baisi_growth_pipra): Mapped to 'development' because of keywords ['baikunthpur', 'baisi', 'growth', 'pipra'].
Topic 85 (85_masaurhi_hathua_mahnar_2025): Mapped to 'development' because of keywords ['masaurhi', 'hathua', 'mahnar', '2025'].
Topic 86 (86_bakhri_lakhisarai_assets_better): Mapped to 'development' because of keywords ['bakhri', 'lakhisarai', 'assets', 'better'].
Topic 87 (87_barachatti_barbigha_barhara_across): Mapped to 'welfare' because of keywords ['barachatti', 'barbigha', 'barhara', 'across'].
Topic 88 (88_flood_hilsa_chakai_delegation): Mapped to 'development' because of keywords ['flood', 'hilsa', 'chakai', 'delegation'].
Topic 89 (89_raxaul_sakra_affidavits_battle): Mapped to 'other' because of keywords ['raxaul', 'sakra', 'affidavits', 'battle'].
Topic 90 (90_araria_taraiya_tarapur_flood): Mapped to 'development' because of keywords ['araria', 'taraiya', 'tarapur', 'flood'].
Topic 91 (91_warisnagar_ramnagar_mohiuddinnagar_alamnagar): Mapped to 'welfare' because of keywords ['warisnagar', 'ramnagar', 'mohiuddinnagar', 'alamnagar'].
Topic 92 (92_belhar_purnia_bochahan_analysts): Mapped to 'other' because of keywords ['belhar', 'purnia', 'bochahan', 'analysts'].
Topic 93 (93_narkatiya_nalanda_rival_affidavits): Mapped to 'other' because of keywords ['narkatiya', 'nalanda', 'rival', 'affidavits'].
Topic 94 (94_ziradei_gaighat_assets_water): Mapped to 'development' because of keywords ['ziradei', 'gaighat', 'assets', 'water'].
Topic 95 (95_madhuban_suryagarha_madhubani_welfare): Mapped to 'welfare' because of keywords ['madhuban', 'suryagarha', 'madhubani', 'welfare'].
Topic 96 (96_jamui_bakhri_phulparas_allocations): Mapped to 'welfare' because of keywords ['jamui', 'bakhri', 'phulparas', 'allocations'].
Topic 97 (97_barbigha_analysts_emerge_cornered): Mapped to 'other' because of keywords ['barbigha', 'analysts', 'emerge', 'cornered'].
Topic 98 (98_aurai_obra_about_2025): Mapped to 'development' because of keywords ['aurai', 'obra', 'about', '2025'].
Topic 99 (99_katoria_aurangabad_khagaria_across): Mapped to 'welfare' because of keywords ['katoria', 'aurangabad', 'khagaria', 'across'].
