ac_no,ac_name_2025,ac_name_norm_2025,ac_name_2020,ac_name_norm_2020,similarity_score,is_match
1,Valmiki Nagar,valmiki nagar,Valmiki Nagar,valmiki nagar,100.0,True
2,Ramnagar,ramnagar,Ramnagar,ramnagar,100.0,True
3,Narkatiaganj,narkatiaganj,Narkatiaganj,narkatiaganj,100.0,True
4,Bagaha,bagaha,Bagaha,bagaha,100.0,True
5,Lauriya,lauriya,Lauriya,lauriya,100.0,True
6,Nautan,nautan,Nautan,nautan,100.0,True
7,Chanpatia,chanpatia,Chanpatia,chanpatia,100.0,True
8,Bettiah,bettiah,Bettiah,bettiah,100.0,True
9,Sikta,sikta,Sikta,sikta,100.0,True
10,Raxaul,raxaul,Raxaul,raxaul,100.0,True
11,Sugauli,sugauli,Sugauli,sugauli,100.0,True
12,Narkatiya,narkatiya,Narkatiya,narkatiya,100.0,True
13,Harsidhi,harsidhi,Harsidhi,harsidhi,100.0,True
14,Govindganj,govindganj,Govindganj,govindganj,100.0,True
15,Kesaria,kesaria,Kesaria,kesaria,100.0,True
16,Kalyanpur,kalyanpur,Kalyanpur,kalyanpur,100.0,True
17,Pipra,pipra,Pipra,pipra,100.0,True
18,Madhuban,madhuban,Madhuban,madhuban,100.0,True
19,Motihari,motihari,Motihari,motihari,100.0,True
20,Chiraia,chiraia,Chiraia,chiraia,100.0,True
21,Dhaka,dhaka,Dhaka,dhaka,100.0,True
22,Sheohar,sheohar,Sheohar,sheohar,100.0,True
23,Riga,riga,Riga,riga,100.0,True
24,Bathnaha,bathnaha,Bathnaha,bathnaha,100.0,True
25,Parihar,parihar,Parihar,parihar,100.0,True
26,Sursand,sursand,Sursand,sursand,100.0,True
27,Bajpatti,bajpatti,Bajpatti,bajpatti,100.0,True
28,Sitamarhi,sitamarhi,Sitamarhi,sitamarhi,100.0,True
29,Runnisaidpur,runnisaidpur,Runnisaidpur,runnisaidpur,100.0,True
30,Belsand,belsand,Belsand,belsand,100.0,True
31,Harlakhi,harlakhi,Harlakhi,harlakhi,100.0,True
32,Benipatti,benipatti,Benipatti,benipatti,100.0,True
33,Khajauli,khajauli,Khajauli,khajauli,100.0,True
34,Babubarhi,babubarhi,Babubarhi,babubarhi,100.0,True
35,Bisfi,bisfi,Bisfi,bisfi,100.0,True
36,Madhubani,madhubani,Madhubani,madhubani,100.0,True
37,Rajnagar,rajnagar,Rajnagar,rajnagar,100.0,True
38,Jhanjharpur,jhanjharpur,Jhanjharpur,jhanjharpur,100.0,True
39,Phulparas,phulparas,Phulparas,phulparas,100.0,True
